"Título de trazado: LDCapSwampHoboTRH"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20744890, SEN S/N: 20744890, LBL: TempC)","HR, % (LGR S/N: 20744890, SEN S/N: 20744890, LBL: %)","Acoplador separado (LGR S/N: 20744890)","Acoplador adjunto (LGR S/N: 20744890)","Host conectado (LGR S/N: 20744890)","Final de archivo (LGR S/N: 20744890)"
59,01/14/25 07:30:00 p.m.,5.102,86.201,,,,
60,01/14/25 08:00:00 p.m.,4.272,88.461,,,,
61,01/14/25 08:30:00 p.m.,4.324,91.182,,,,
62,01/14/25 09:00:00 p.m.,3.775,92.241,,,,
63,01/14/25 09:30:00 p.m.,3.406,93.138,,,,
64,01/14/25 10:00:00 p.m.,2.770,93.660,,,,
65,01/14/25 10:30:00 p.m.,3.354,94.949,,,,
66,01/14/25 11:00:00 p.m.,2.503,94.889,,,,
67,01/14/25 11:30:00 p.m.,1.697,95.182,,,,
68,01/15/25 12:00:00 a.m.,1.099,95.454,,,,
69,01/15/25 12:30:00 a.m.,0.329,95.580,,,,
70,01/15/25 01:00:00 a.m.,-0.563,95.526,,,,
71,01/15/25 01:30:00 a.m.,-1.015,95.449,,,,
72,01/15/25 02:00:00 a.m.,-1.043,95.441,,,,
73,01/15/25 02:30:00 a.m.,-1.527,95.068,,,,
74,01/15/25 03:00:00 a.m.,-1.641,95.108,,,,
75,01/15/25 03:30:00 a.m.,-1.556,95.252,,,,
76,01/15/25 04:00:00 a.m.,-1.756,95.435,,,,
77,01/15/25 04:30:00 a.m.,-1.871,95.642,,,,
78,01/15/25 05:00:00 a.m.,-2.160,95.704,,,,
79,01/15/25 05:30:00 a.m.,-2.712,95.882,,,,
80,01/15/25 06:00:00 a.m.,-2.654,96.136,,,,
81,01/15/25 06:30:00 a.m.,-1.986,96.252,,,,
82,01/15/25 07:00:00 a.m.,-1.498,96.389,,,,
83,01/15/25 07:30:00 a.m.,1.588,96.388,,,,
84,01/15/25 08:00:00 a.m.,5.154,88.067,,,,
85,01/15/25 08:30:00 a.m.,8.618,77.876,,,,
86,01/15/25 09:00:00 a.m.,12.823,63.985,,,,
87,01/15/25 09:30:00 a.m.,15.270,54.434,,,,
88,01/15/25 10:00:00 a.m.,18.295,48.353,,,,
89,01/15/25 10:30:00 a.m.,20.174,39.703,,,,
90,01/15/25 11:00:00 a.m.,20.841,43.554,,,,
91,01/15/25 11:30:00 a.m.,20.103,42.022,,,,
92,01/15/25 12:00:00 p.m.,19.127,49.121,,,,
93,01/15/25 12:30:00 p.m.,17.772,49.194,,,,
94,01/15/25 01:00:00 p.m.,17.082,55.799,,,,
95,01/15/25 01:30:00 p.m.,16.082,57.077,,,,
96,01/15/25 02:00:00 p.m.,15.772,58.056,,,,
97,01/15/25 02:30:00 p.m.,16.392,62.082,,,,
98,01/15/25 03:00:00 p.m.,17.082,52.794,,,,
99,01/15/25 03:30:00 p.m.,15.366,63.481,,,,
100,01/15/25 04:00:00 p.m.,12.630,72.401,,,,
101,01/15/25 04:30:00 p.m.,13.449,74.031,,,,
102,01/15/25 05:00:00 p.m.,13.112,73.598,,,,
103,01/15/25 05:30:00 p.m.,10.663,77.106,,,,
104,01/15/25 06:00:00 p.m.,9.756,80.538,,,,
105,01/15/25 06:30:00 p.m.,8.319,82.310,,,,
106,01/15/25 07:00:00 p.m.,7.318,86.608,,,,
107,01/15/25 07:30:00 p.m.,6.990,88.677,,,,
108,01/15/25 08:00:00 p.m.,6.255,89.494,,,,
109,01/15/25 08:30:00 p.m.,4.947,89.267,,,,
110,01/15/25 09:00:00 p.m.,4.610,91.557,,,,
111,01/15/25 09:30:00 p.m.,3.406,91.020,,,,
112,01/15/25 10:00:00 p.m.,1.913,91.628,,,,
113,01/15/25 10:30:00 p.m.,0.770,92.684,,,,
114,01/15/25 11:00:00 p.m.,0.329,93.763,,,,
115,01/15/25 11:30:00 p.m.,0.605,94.325,,,,
116,01/16/25 12:00:00 a.m.,0.273,95.131,,,,
117,01/16/25 12:30:00 a.m.,0.107,95.832,,,,
118,01/16/25 01:00:00 a.m.,1.832,96.769,,,,
119,01/16/25 01:30:00 a.m.,2.209,96.971,,,,
120,01/16/25 02:00:00 a.m.,2.423,97.272,,,,
121,01/16/25 02:30:00 a.m.,1.805,97.340,,,,
122,01/16/25 03:00:00 a.m.,1.453,97.385,,,,
123,01/16/25 03:30:00 a.m.,1.017,97.430,,,,
124,01/16/25 04:00:00 a.m.,0.467,97.729,,,,
125,01/16/25 04:30:00 a.m.,0.989,97.829,,,,
126,01/16/25 05:00:00 a.m.,-0.339,97.786,,,,
127,01/16/25 05:30:00 a.m.,-0.789,97.989,,,,
128,01/16/25 06:00:00 a.m.,-0.591,98.188,,,,
129,01/16/25 06:30:00 a.m.,-0.535,98.298,,,,
130,01/16/25 07:00:00 a.m.,0.577,98.664,,,,
131,01/16/25 07:30:00 a.m.,2.101,99.148,,,,
132,01/16/25 08:00:00 a.m.,6.940,99.562,,,,
133,01/16/25 08:30:00 a.m.,8.568,97.186,,,,
134,01/16/25 09:00:00 a.m.,13.161,80.171,,,,
135,01/16/25 09:30:00 a.m.,13.978,74.222,,,,
136,01/16/25 10:00:00 a.m.,13.858,69.646,,,,
137,01/16/25 10:30:00 a.m.,12.292,73.293,,,,
138,01/16/25 11:00:00 a.m.,12.509,73.730,,,,
139,01/16/25 11:30:00 a.m.,13.233,72.690,,,,
140,01/16/25 12:00:00 p.m.,11.273,73.034,,,,
141,01/16/25 12:30:00 p.m.,9.534,81.487,,,,
142,01/16/25 01:00:00 p.m.,11.565,87.529,,,,
143,01/16/25 01:30:00 p.m.,11.856,85.769,,,,
144,01/16/25 02:00:00 p.m.,14.337,76.179,,,,
145,01/16/25 02:30:00 p.m.,12.098,78.430,,,,
146,01/16/25 03:00:00 p.m.,11.370,84.561,,,,
147,01/16/25 03:30:00 p.m.,13.209,81.277,,,,
148,01/16/25 04:00:00 p.m.,10.394,84.227,,,,
149,01/16/25 04:30:00 p.m.,10.320,88.853,,,,
150,01/16/25 05:00:00 p.m.,8.543,88.907,,,,
151,01/16/25 05:30:00 p.m.,7.720,91.550,,,,
152,01/16/25 06:00:00 p.m.,6.940,93.322,,,,
153,01/16/25 06:30:00 p.m.,6.026,94.432,,,,
154,01/16/25 07:00:00 p.m.,5.796,95.017,,,,
155,01/16/25 07:30:00 p.m.,5.565,95.475,,,,
156,01/16/25 08:00:00 p.m.,4.973,95.635,,,,
157,01/16/25 08:30:00 p.m.,4.298,95.942,,,,
158,01/16/25 09:00:00 p.m.,4.272,96.327,,,,
159,01/16/25 09:30:00 p.m.,4.246,96.760,,,,
160,01/16/25 10:00:00 p.m.,4.558,97.090,,,,
161,01/16/25 10:30:00 p.m.,4.532,97.230,,,,
162,01/16/25 11:00:00 p.m.,4.844,97.657,,,,
163,01/16/25 11:30:00 p.m.,5.024,97.854,,,,
164,01/17/25 12:00:00 a.m.,5.334,98.087,,,,
165,01/17/25 12:30:00 a.m.,5.257,98.163,,,,
166,01/17/25 01:00:00 a.m.,4.973,98.350,,,,
167,01/17/25 01:30:00 a.m.,4.844,98.581,,,,
168,01/17/25 02:00:00 a.m.,4.766,98.704,,,,
169,01/17/25 02:30:00 a.m.,4.740,98.794,,,,
170,01/17/25 03:00:00 a.m.,4.636,98.861,,,,
171,01/17/25 03:30:00 a.m.,4.454,98.931,,,,
172,01/17/25 04:00:00 a.m.,3.985,98.966,,,,
173,01/17/25 04:30:00 a.m.,3.827,99.114,,,,
174,01/17/25 05:00:00 a.m.,3.775,99.195,,,,
175,01/17/25 05:30:00 a.m.,3.722,99.324,,,,
176,01/17/25 06:00:00 a.m.,3.775,99.435,,,,
177,01/17/25 06:30:00 a.m.,3.643,99.494,,,,
178,01/17/25 07:00:00 a.m.,3.854,99.650,,,,
179,01/17/25 07:30:00 a.m.,4.272,99.818,,,,
180,01/17/25 08:00:00 a.m.,5.076,100.000,,,,
181,01/17/25 08:30:00 a.m.,6.128,100.000,,,,
182,01/17/25 09:00:00 a.m.,6.077,99.996,,,,
183,01/17/25 09:30:00 a.m.,6.813,100.000,,,,
184,01/17/25 10:00:00 a.m.,8.070,100.000,,,,
185,01/17/25 10:30:00 a.m.,7.444,99.900,,,,
186,01/17/25 11:00:00 a.m.,8.319,100.000,,,,
187,01/17/25 11:30:00 a.m.,9.213,100.000,,,,
188,01/17/25 12:00:00 p.m.,10.345,100.000,,,,
189,01/17/25 12:30:00 p.m.,9.509,99.551,,,,
190,01/17/25 01:00:00 p.m.,10.907,99.522,,,,
191,01/17/25 01:30:00 p.m.,14.984,89.816,,,,
192,01/17/25 02:00:00 p.m.,13.858,86.080,,,,
193,01/17/25 02:30:00 p.m.,11.321,85.084,,,,
194,01/17/25 03:00:00 p.m.,7.820,92.288,,,,
195,01/17/25 03:30:00 p.m.,6.458,95.096,,,,
196,01/17/25 04:00:00 p.m.,7.645,97.156,,,,
197,01/17/25 04:30:00 p.m.,9.262,97.998,,,,
198,01/17/25 05:00:00 p.m.,6.712,97.638,,,,
199,01/17/25 05:30:00 p.m.,6.000,97.955,,,,
200,01/17/25 06:00:00 p.m.,5.642,98.319,,,,
201,01/17/25 06:30:00 p.m.,5.437,98.554,,,,
202,01/17/25 07:00:00 p.m.,5.231,98.739,,,,
203,01/17/25 07:30:00 p.m.,4.869,98.879,,,,
204,01/17/25 08:00:00 p.m.,4.298,99.055,,,,
205,01/17/25 08:30:00 p.m.,4.037,99.318,,,,
206,01/17/25 09:00:00 p.m.,3.932,99.528,,,,
207,01/17/25 09:30:00 p.m.,3.827,99.618,,,,
208,01/17/25 10:00:00 p.m.,3.775,99.747,,,,
209,01/17/25 10:30:00 p.m.,3.775,99.867,,,,
210,01/17/25 11:00:00 p.m.,3.775,99.963,,,,
211,01/17/25 11:30:00 p.m.,3.775,100.000,,,,
212,01/18/25 12:00:00 a.m.,3.722,100.000,,,,
213,01/18/25 12:30:00 a.m.,3.617,100.000,,,,
214,01/18/25 01:00:00 a.m.,3.248,100.000,,,,
215,01/18/25 01:30:00 a.m.,2.610,100.000,,,,
216,01/18/25 02:00:00 a.m.,2.770,100.000,,,,
217,01/18/25 02:30:00 a.m.,2.983,100.000,,,,
218,01/18/25 03:00:00 a.m.,2.877,100.000,,,,
219,01/18/25 03:30:00 a.m.,2.850,100.000,,,,
220,01/18/25 04:00:00 a.m.,3.116,100.000,,,,
221,01/18/25 04:30:00 a.m.,2.690,100.000,,,,
222,01/18/25 05:00:00 a.m.,1.913,100.000,,,,
223,01/18/25 05:30:00 a.m.,0.495,100.000,,,,
224,01/18/25 06:00:00 a.m.,0.273,100.000,,,,
225,01/18/25 06:30:00 a.m.,0.660,100.000,,,,
226,01/18/25 07:00:00 a.m.,1.832,100.000,,,,
227,01/18/25 07:30:00 a.m.,4.532,100.000,,,,
228,01/18/25 08:00:00 a.m.,5.898,100.000,,,,
229,01/18/25 08:30:00 a.m.,6.509,100.000,,,,
230,01/18/25 09:00:00 a.m.,8.045,100.000,,,,
231,01/18/25 09:30:00 a.m.,9.756,100.000,,,,
232,01/18/25 10:00:00 a.m.,9.361,100.000,,,,
233,01/18/25 10:30:00 a.m.,9.731,100.000,,,,
234,01/18/25 11:00:00 a.m.,9.015,98.771,,,,
235,01/18/25 11:30:00 a.m.,10.051,99.010,,,,
236,01/18/25 12:00:00 p.m.,12.268,95.592,,,,
237,01/18/25 12:30:00 p.m.,14.385,85.721,,,,
238,01/18/25 01:00:00 p.m.,11.565,89.578,,,,
239,01/18/25 01:30:00 p.m.,13.954,83.024,,,,
240,01/18/25 02:00:00 p.m.,12.968,82.666,,,,
241,01/18/25 02:30:00 p.m.,13.112,81.010,,,,
242,01/18/25 03:00:00 p.m.,15.819,75.102,,,,
243,01/18/25 03:30:00 p.m.,13.642,74.914,,,,
244,01/18/25 04:00:00 p.m.,12.195,76.626,,,,
245,01/18/25 04:30:00 p.m.,12.122,78.518,,,,
246,01/18/25 05:00:00 p.m.,10.638,82.570,,,,
247,01/18/25 05:30:00 p.m.,9.262,86.001,,,,
248,01/18/25 06:00:00 p.m.,8.070,88.272,,,,
249,01/18/25 06:30:00 p.m.,7.217,89.838,,,,
250,01/18/25 07:00:00 p.m.,5.949,90.639,,,,
251,01/18/25 07:30:00 p.m.,4.947,91.494,,,,
252,01/18/25 08:00:00 p.m.,4.011,92.128,,,,
253,01/18/25 08:30:00 p.m.,1.967,92.163,,,,
254,01/18/25 09:00:00 p.m.,0.467,92.824,,,,
255,01/18/25 09:30:00 p.m.,0.907,94.334,,,,
256,01/18/25 10:00:00 p.m.,1.588,95.492,,,,
257,01/18/25 10:30:00 p.m.,2.021,95.999,,,,
258,01/18/25 11:00:00 p.m.,1.588,96.653,,,,
259,01/18/25 11:30:00 p.m.,1.099,97.046,,,,
260,01/19/25 12:00:00 a.m.,0.660,97.306,,,,
261,01/19/25 12:30:00 a.m.,0.825,97.782,,,,
262,01/19/25 01:00:00 a.m.,1.994,98.137,,,,
263,01/19/25 01:30:00 a.m.,0.218,97.849,,,,
264,01/19/25 02:00:00 a.m.,0.495,98.403,,,,
265,01/19/25 02:30:00 a.m.,0.550,98.561,,,,
266,01/19/25 03:00:00 a.m.,-0.255,98.426,,,,
267,01/19/25 03:30:00 a.m.,-1.128,98.647,,,,
268,01/19/25 04:00:00 a.m.,-0.116,99.222,,,,
269,01/19/25 04:30:00 a.m.,0.962,99.296,,,,
270,01/19/25 05:00:00 a.m.,0.660,99.162,,,,
271,01/19/25 05:30:00 a.m.,-0.032,99.151,,,,
272,01/19/25 06:00:00 a.m.,-0.423,99.321,,,,
273,01/19/25 06:30:00 a.m.,-0.845,99.387,,,,
274,01/19/25 07:00:00 a.m.,-0.704,99.521,,,,
275,01/19/25 07:30:00 a.m.,1.697,99.792,,,,
276,01/19/25 08:00:00 a.m.,3.195,99.748,,,,
277,01/19/25 08:30:00 a.m.,5.975,99.677,,,,
278,01/19/25 09:00:00 a.m.,9.064,98.340,,,,
279,01/19/25 09:30:00 a.m.,13.690,75.261,,,,
280,01/19/25 10:00:00 a.m.,16.844,61.141,,,,
281,01/19/25 10:30:00 a.m.,15.509,58.888,,,,
282,01/19/25 11:00:00 a.m.,19.341,56.627,,,,
283,01/19/25 11:30:00 a.m.,20.150,48.751,,,,
284,01/19/25 12:00:00 p.m.,22.681,39.842,,,,
285,01/19/25 12:30:00 p.m.,18.461,43.819,,,,
286,01/19/25 01:00:00 p.m.,17.153,54.770,,,,
287,01/19/25 01:30:00 p.m.,13.786,61.471,,,,
288,01/19/25 02:00:00 p.m.,13.161,65.211,,,,
289,01/19/25 02:30:00 p.m.,14.768,59.370,,,,
290,01/19/25 03:00:00 p.m.,20.603,50.918,,,,
291,01/19/25 03:30:00 p.m.,14.050,61.189,,,,
292,01/19/25 04:00:00 p.m.,12.292,65.406,,,,
293,01/19/25 04:30:00 p.m.,10.467,75.713,,,,
294,01/19/25 05:00:00 p.m.,9.509,78.394,,,,
295,01/19/25 05:30:00 p.m.,8.394,81.632,,,,
296,01/19/25 06:00:00 p.m.,7.770,83.009,,,,
297,01/19/25 06:30:00 p.m.,6.204,85.324,,,,
298,01/19/25 07:00:00 p.m.,4.973,87.920,,,,
299,01/19/25 07:30:00 p.m.,3.301,89.231,,,,
300,01/19/25 08:00:00 p.m.,3.142,91.601,,,,
301,01/19/25 08:30:00 p.m.,3.089,92.707,,,,
302,01/19/25 09:00:00 p.m.,3.221,93.584,,,,
303,01/19/25 09:30:00 p.m.,2.370,94.388,,,,
304,01/19/25 10:00:00 p.m.,1.751,94.953,,,,
305,01/19/25 10:30:00 p.m.,0.934,95.215,,,,
306,01/19/25 11:00:00 p.m.,2.744,96.539,,,,
307,01/19/25 11:30:00 p.m.,2.262,96.211,,,,
308,01/20/25 12:00:00 a.m.,0.384,96.414,,,,
309,01/20/25 12:30:00 a.m.,-1.185,96.477,,,,
310,01/20/25 01:00:00 a.m.,-1.584,96.816,,,,
311,01/20/25 01:30:00 a.m.,-1.900,97.059,,,,
312,01/20/25 02:00:00 a.m.,-1.384,97.441,,,,
313,01/20/25 02:30:00 a.m.,-1.185,97.593,,,,
314,01/20/25 03:00:00 a.m.,-1.498,97.645,,,,
315,01/20/25 03:30:00 a.m.,-0.395,98.054,,,,
316,01/20/25 04:00:00 a.m.,-0.339,98.165,,,,
317,01/20/25 04:30:00 a.m.,0.412,98.427,,,,
318,01/20/25 05:00:00 a.m.,0.439,98.292,,,,
319,01/20/25 05:30:00 a.m.,-0.591,98.377,,,,
320,01/20/25 06:00:00 a.m.,-0.563,98.527,,,,
321,01/20/25 06:30:00 a.m.,-0.648,98.785,,,,
322,01/20/25 07:00:00 a.m.,0.135,98.869,,,,
323,01/20/25 07:30:00 a.m.,2.182,99.219,,,,
324,01/20/25 08:00:00 a.m.,4.194,99.266,,,,
325,01/20/25 08:30:00 a.m.,7.268,99.166,,,,
326,01/20/25 09:00:00 a.m.,10.296,96.431,,,,
327,01/20/25 09:30:00 a.m.,14.888,74.433,,,,
328,01/20/25 10:00:00 a.m.,17.677,58.292,,,,
329,01/20/25 10:30:00 a.m.,19.532,49.771,,,,
330,01/20/25 11:00:00 a.m.,22.705,41.343,,,,
331,01/20/25 11:30:00 a.m.,18.176,55.135,,,,
332,01/20/25 12:00:00 p.m.,14.529,63.545,,,,
333,01/20/25 12:30:00 p.m.,11.977,71.170,,,,
334,01/20/25 01:00:00 p.m.,14.385,67.580,,,,
335,01/20/25 01:30:00 p.m.,17.605,58.433,,,,
336,01/20/25 02:00:00 p.m.,18.081,51.851,,,,
337,01/20/25 02:30:00 p.m.,19.080,49.805,,,,
338,01/20/25 03:00:00 p.m.,16.963,46.361,,,,
339,01/20/25 03:30:00 p.m.,17.582,50.851,,,,
340,01/20/25 04:00:00 p.m.,16.201,55.516,,,,
341,01/20/25 04:30:00 p.m.,11.005,67.796,,,,
342,01/20/25 05:00:00 p.m.,9.657,77.825,,,,
343,01/20/25 05:30:00 p.m.,8.916,76.381,,,,
344,01/20/25 06:00:00 p.m.,7.041,79.936,,,,
345,01/20/25 06:30:00 p.m.,5.334,83.786,,,,
346,01/20/25 07:00:00 p.m.,3.274,85.990,,,,
347,01/20/25 07:30:00 p.m.,3.195,90.238,,,,
348,01/20/25 08:00:00 p.m.,3.591,92.168,,,,
349,01/20/25 08:30:00 p.m.,2.664,92.495,,,,
350,01/20/25 09:00:00 p.m.,2.690,93.934,,,,
351,01/20/25 09:30:00 p.m.,2.503,94.571,,,,
352,01/20/25 10:00:00 p.m.,3.009,95.492,,,,
353,01/20/25 10:30:00 p.m.,3.354,95.879,,,,
354,01/20/25 11:00:00 p.m.,3.512,96.167,,,,
355,01/20/25 11:30:00 p.m.,3.142,96.309,,,,
356,01/21/25 12:00:00 a.m.,2.155,96.182,,,,
357,01/21/25 12:30:00 a.m.,0.660,96.106,,,,
358,01/21/25 01:00:00 a.m.,0.079,96.329,,,,
359,01/21/25 01:30:00 a.m.,0.660,96.995,,,,
360,01/21/25 02:00:00 a.m.,0.797,97.129,,,,
361,01/21/25 02:30:00 a.m.,0.550,97.418,,,,
362,01/21/25 03:00:00 a.m.,0.384,97.419,,,,
363,01/21/25 03:30:00 a.m.,-0.227,97.437,,,,
364,01/21/25 04:00:00 a.m.,-0.171,97.786,,,,
365,01/21/25 04:30:00 a.m.,-0.339,97.809,,,,
366,01/21/25 05:00:00 a.m.,-0.873,97.918,,,,
367,01/21/25 05:30:00 a.m.,-1.470,97.960,,,,
368,01/21/25 06:00:00 a.m.,-1.900,98.073,,,,
369,01/21/25 06:30:00 a.m.,-1.699,98.389,,,,
370,01/21/25 07:00:00 a.m.,-1.641,98.499,,,,
371,01/21/25 07:30:00 a.m.,1.778,98.960,,,,
372,01/21/25 08:00:00 a.m.,4.168,98.704,,,,
373,01/21/25 08:30:00 a.m.,8.369,96.858,,,,
374,01/21/25 09:00:00 a.m.,12.243,74.126,,,,
375,01/21/25 09:30:00 a.m.,15.772,61.860,,,,
376,01/21/25 10:00:00 a.m.,18.105,54.971,,,,
377,01/21/25 10:30:00 a.m.,19.032,49.830,,,,
378,01/21/25 11:00:00 a.m.,19.222,48.882,,,,
379,01/21/25 11:30:00 a.m.,20.007,47.849,,,,
380,01/21/25 12:00:00 p.m.,17.534,45.517,,,,
381,01/21/25 12:30:00 p.m.,19.960,43.996,,,,
382,01/21/25 01:00:00 p.m.,17.391,50.048,,,,
383,01/21/25 01:30:00 p.m.,15.915,55.808,,,,
384,01/21/25 02:00:00 p.m.,14.864,62.065,,,,
385,01/21/25 02:30:00 p.m.,19.555,46.779,,,,
386,01/21/25 03:00:00 p.m.,14.337,59.719,,,,
387,01/21/25 03:30:00 p.m.,15.557,55.724,,,,
388,01/21/25 04:00:00 p.m.,13.497,61.719,,,,
389,01/21/25 04:30:00 p.m.,10.834,71.372,,,,
390,01/21/25 05:00:00 p.m.,10.051,73.628,,,,
391,01/21/25 05:30:00 p.m.,8.990,78.337,,,,
392,01/21/25 06:00:00 p.m.,7.066,86.391,,,,
393,01/21/25 06:30:00 p.m.,5.872,88.297,,,,
394,01/21/25 07:00:00 p.m.,3.985,89.835,,,,
395,01/21/25 07:30:00 p.m.,2.690,91.907,,,,
396,01/21/25 08:00:00 p.m.,2.396,93.314,,,,
397,01/21/25 08:30:00 p.m.,2.584,94.544,,,,
398,01/21/25 09:00:00 p.m.,3.142,95.430,,,,
399,01/21/25 09:30:00 p.m.,2.182,95.582,,,,
400,01/21/25 10:00:00 p.m.,3.009,96.418,,,,
401,01/21/25 10:30:00 p.m.,3.722,96.859,,,,
402,01/21/25 11:00:00 p.m.,3.906,97.202,,,,
403,01/21/25 11:30:00 p.m.,4.688,97.517,,,,
404,01/22/25 12:00:00 a.m.,4.480,97.556,,,,
405,01/22/25 12:30:00 a.m.,4.168,97.663,,,,
406,01/22/25 01:00:00 a.m.,3.906,97.881,,,,
407,01/22/25 01:30:00 a.m.,3.670,98.008,,,,
408,01/22/25 02:00:00 a.m.,3.617,98.187,,,,
409,01/22/25 02:30:00 a.m.,3.617,98.259,,,,
410,01/22/25 03:00:00 a.m.,3.354,98.354,,,,
411,01/22/25 03:30:00 a.m.,3.512,98.543,,,,
412,01/22/25 04:00:00 a.m.,3.617,98.669,,,,
413,01/22/25 04:30:00 a.m.,3.854,98.784,,,,
414,01/22/25 05:00:00 a.m.,4.063,98.844,,,,
415,01/22/25 05:30:00 a.m.,3.985,98.966,,,,
416,01/22/25 06:00:00 a.m.,4.063,99.037,,,,
417,01/22/25 06:30:00 a.m.,4.194,99.074,,,,
418,01/22/25 07:00:00 a.m.,4.869,99.266,,,,
419,01/22/25 07:30:00 a.m.,6.153,99.582,,,,
420,01/22/25 08:00:00 a.m.,7.695,99.825,,,,
421,01/22/25 08:30:00 a.m.,9.410,97.840,,,,
422,01/22/25 09:00:00 a.m.,13.040,85.433,,,,
423,01/22/25 09:30:00 a.m.,13.401,74.219,,,,
424,01/22/25 10:00:00 a.m.,13.257,73.514,,,,
425,01/22/25 10:30:00 a.m.,13.209,72.572,,,,
426,01/22/25 11:00:00 a.m.,13.906,70.143,,,,
427,01/22/25 11:30:00 a.m.,17.391,61.710,,,,
428,01/22/25 12:00:00 p.m.,18.699,53.949,,,,
429,01/22/25 12:30:00 p.m.,20.055,49.903,,,,
430,01/22/25 01:00:00 p.m.,16.915,54.399,,,,
431,01/22/25 01:30:00 p.m.,17.225,55.240,,,,
432,01/22/25 02:00:00 p.m.,19.508,45.854,,,,
433,01/22/25 02:30:00 p.m.,20.317,44.997,,,,
434,01/22/25 03:00:00 p.m.,18.438,45.405,,,,
435,01/22/25 03:30:00 p.m.,15.915,55.260,,,,
436,01/22/25 04:00:00 p.m.,14.936,56.237,,,,
