"Título de trazado: 20759041"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20759041, SEN S/N: 20759041, LBL: TempC)","Event, units (LGR S/N: 20759041, SEN S/N: 20759041, LBL: 0.2mm)","Acoplador adjunto (LGR S/N: 20759041)","Host conectado (LGR S/N: 20759041)","Acoplador separado (LGR S/N: 20759041)","Final de archivo (LGR S/N: 20759041)"
129,01/16/25 04:30:00 a.m.,0.343,,,,,
130,01/16/25 05:00:00 a.m.,-1.114,,,,,
131,01/16/25 05:30:00 a.m.,-1.341,,,,,
132,01/16/25 06:00:00 a.m.,-1.341,,,,,
133,01/16/25 06:30:00 a.m.,-1.228,,,,,
134,01/16/25 07:00:00 a.m.,-0.102,,,,,
135,01/16/25 07:30:00 a.m.,1.112,,,,,
136,01/16/25 08:00:00 a.m.,7.481,,,,,
137,01/16/25 08:30:00 a.m.,10.846,,,,,
138,01/16/25 09:00:00 a.m.,17.665,,,,,
139,01/16/25 09:30:00 a.m.,18.996,,,,,
140,01/16/25 10:00:00 a.m.,19.948,,,,,
141,01/16/25 10:30:00 a.m.,16.713,,,,,
142,01/16/25 11:00:00 a.m.,16.618,,,,,
143,01/16/25 11:30:00 a.m.,16.808,,,,,
144,01/16/25 12:00:00 p.m.,15.855,,,,,
145,01/16/25 12:30:00 p.m.,12.401,,,,,
146,01/16/25 12:59:36 p.m.,,5.00,,,,
147,01/16/25 01:00:00 p.m.,12.787,,,,,
148,01/16/25 01:30:00 p.m.,14.421,,,,,
149,01/16/25 02:00:00 p.m.,20.234,,,,,
150,01/16/25 02:30:00 p.m.,15.760,,,,,
151,01/16/25 03:00:00 p.m.,13.461,,,,,
152,01/16/25 03:30:00 p.m.,16.427,,,,,
153,01/16/25 03:41:43 p.m.,,6.00,,,,
154,01/16/25 04:00:00 p.m.,12.304,,,,,
155,01/16/25 04:30:00 p.m.,12.401,,,,,
156,01/16/25 04:41:13 p.m.,,7.00,,,,
157,01/16/25 04:46:08 p.m.,,8.00,,,,
158,01/16/25 04:53:42 p.m.,,9.00,,,,
159,01/16/25 05:00:00 p.m.,8.879,,,,,
160,01/16/25 05:22:27 p.m.,,10.00,,,,
161,01/16/25 05:27:53 p.m.,,11.00,,,,
162,01/16/25 05:30:00 p.m.,7.582,,,,,
163,01/16/25 05:38:48 p.m.,,12.00,,,,
164,01/16/25 06:00:00 p.m.,6.775,,,,,
165,01/16/25 06:02:17 p.m.,,13.00,,,,
166,01/16/25 06:30:00 p.m.,6.166,,,,,
167,01/16/25 07:00:00 p.m.,5.552,,,,,
168,01/16/25 07:30:00 p.m.,5.347,,,,,
169,01/16/25 08:00:00 p.m.,4.623,,,,,
170,01/16/25 08:30:00 p.m.,3.893,,,,,
171,01/16/25 09:00:00 p.m.,4.102,,,,,
172,01/16/25 09:30:00 p.m.,4.102,,,,,
173,01/16/25 10:00:00 p.m.,4.623,,,,,
174,01/16/25 10:28:28 p.m.,,14.00,,,,
175,01/16/25 10:30:00 p.m.,4.415,,,,,
176,01/16/25 10:34:16 p.m.,,15.00,,,,
177,01/16/25 10:38:14 p.m.,,16.00,,,,
178,01/16/25 10:41:52 p.m.,,17.00,,,,
179,01/16/25 10:54:16 p.m.,,18.00,,,,
180,01/16/25 11:00:00 p.m.,4.831,,,,,
181,01/16/25 11:00:45 p.m.,,19.00,,,,
182,01/16/25 11:12:16 p.m.,,20.00,,,,
183,01/16/25 11:24:00 p.m.,,21.00,,,,
184,01/16/25 11:30:00 p.m.,5.037,,,,,
185,01/16/25 11:32:35 p.m.,,22.00,,,,
186,01/16/25 11:46:00 p.m.,,23.00,,,,
187,01/16/25 11:58:53 p.m.,,24.00,,,,
188,01/17/25 12:00:00 a.m.,5.244,,,,,
189,01/17/25 12:10:49 a.m.,,25.00,,,,
190,01/17/25 12:23:39 a.m.,,26.00,,,,
191,01/17/25 12:30:00 a.m.,5.244,,,,,
192,01/17/25 12:46:35 a.m.,,27.00,,,,
193,01/17/25 01:00:00 a.m.,5.037,,,,,
194,01/17/25 01:01:25 a.m.,,28.00,,,,
195,01/17/25 01:12:10 a.m.,,29.00,,,,
196,01/17/25 01:23:34 a.m.,,30.00,,,,
197,01/17/25 01:30:00 a.m.,4.831,,,,,
198,01/17/25 01:37:36 a.m.,,31.00,,,,
199,01/17/25 01:45:25 a.m.,,32.00,,,,
200,01/17/25 01:55:09 a.m.,,33.00,,,,
201,01/17/25 02:00:00 a.m.,4.727,,,,,
202,01/17/25 02:02:20 a.m.,,34.00,,,,
203,01/17/25 02:08:42 a.m.,,35.00,,,,
204,01/17/25 02:15:04 a.m.,,36.00,,,,
205,01/17/25 02:20:10 a.m.,,37.00,,,,
206,01/17/25 02:23:19 a.m.,,38.00,,,,
207,01/17/25 02:26:24 a.m.,,39.00,,,,
208,01/17/25 02:28:49 a.m.,,40.00,,,,
209,01/17/25 02:30:00 a.m.,4.727,,,,,
210,01/17/25 02:31:46 a.m.,,41.00,,,,
211,01/17/25 02:34:38 a.m.,,42.00,,,,
212,01/17/25 02:37:50 a.m.,,43.00,,,,
213,01/17/25 02:41:06 a.m.,,44.00,,,,
214,01/17/25 02:45:00 a.m.,,45.00,,,,
215,01/17/25 02:47:57 a.m.,,46.00,,,,
216,01/17/25 02:53:03 a.m.,,47.00,,,,
217,01/17/25 02:58:28 a.m.,,48.00,,,,
218,01/17/25 03:00:00 a.m.,4.623,,,,,
219,01/17/25 03:04:31 a.m.,,49.00,,,,
220,01/17/25 03:10:47 a.m.,,50.00,,,,
221,01/17/25 03:15:36 a.m.,,51.00,,,,
222,01/17/25 03:19:45 a.m.,,52.00,,,,
223,01/17/25 03:24:11 a.m.,,53.00,,,,
224,01/17/25 03:27:15 a.m.,,54.00,,,,
225,01/17/25 03:30:00 a.m.,4.415,,,,,
226,01/17/25 03:31:46 a.m.,,55.00,,,,
227,01/17/25 03:35:54 a.m.,,56.00,,,,
228,01/17/25 03:40:57 a.m.,,57.00,,,,
229,01/17/25 03:45:15 a.m.,,58.00,,,,
230,01/17/25 03:52:48 a.m.,,59.00,,,,
231,01/17/25 04:00:00 a.m.,3.893,60.00,,,,
232,01/17/25 04:11:21 a.m.,,61.00,,,,
233,01/17/25 04:27:12 a.m.,,62.00,,,,
234,01/17/25 04:30:00 a.m.,3.788,,,,,
235,01/17/25 04:42:38 a.m.,,63.00,,,,
236,01/17/25 04:55:03 a.m.,,64.00,,,,
237,01/17/25 05:00:00 a.m.,3.788,,,,,
238,01/17/25 05:17:13 a.m.,,65.00,,,,
239,01/17/25 05:29:48 a.m.,,66.00,,,,
240,01/17/25 05:30:00 a.m.,3.683,,,,,
241,01/17/25 05:45:22 a.m.,,67.00,,,,
242,01/17/25 06:00:00 a.m.,3.683,,,,,
243,01/17/25 06:00:52 a.m.,,68.00,,,,
244,01/17/25 06:30:00 a.m.,3.578,,,,,
245,01/17/25 07:00:00 a.m.,3.893,,,,,
246,01/17/25 07:30:00 a.m.,4.311,,,,,
247,01/17/25 08:00:00 a.m.,5.450,,,,,
248,01/17/25 08:30:00 a.m.,6.877,,,,,
249,01/17/25 09:00:00 a.m.,7.079,,,,,
250,01/17/25 09:30:00 a.m.,8.282,,,,,
251,01/17/25 10:00:00 a.m.,10.259,,,,,
252,01/17/25 10:29:43 a.m.,,69.00,,,,
253,01/17/25 10:30:00 a.m.,9.373,,,,,
254,01/17/25 10:37:42 a.m.,,70.00,,,,
255,01/17/25 10:44:02 a.m.,,71.00,,,,
256,01/17/25 10:46:45 a.m.,,72.00,,,,
257,01/17/25 10:51:30 a.m.,,73.00,,,,
258,01/17/25 10:58:31 a.m.,,74.00,,,,
259,01/17/25 11:00:00 a.m.,9.472,,,,,
260,01/17/25 11:16:15 a.m.,,75.00,,,,
261,01/17/25 11:26:39 a.m.,,76.00,,,,
262,01/17/25 11:30:00 a.m.,10.357,,,,,
263,01/17/25 11:39:05 a.m.,,77.00,,,,
264,01/17/25 11:44:40 a.m.,,78.00,,,,
265,01/17/25 11:53:20 a.m.,,79.00,,,,
266,01/17/25 12:00:00 p.m.,12.207,,,,,
267,01/17/25 12:03:49 p.m.,,80.00,,,,
268,01/17/25 12:30:00 p.m.,11.528,,,,,
269,01/17/25 01:00:00 p.m.,14.517,,,,,
270,01/17/25 01:30:00 p.m.,22.238,,,,,
271,01/17/25 02:00:00 p.m.,21.664,,,,,
272,01/17/25 02:30:00 p.m.,17.475,,,,,
273,01/17/25 02:38:39 p.m.,,81.00,,,,
274,01/17/25 02:46:16 p.m.,,82.00,,,,
275,01/17/25 02:47:52 p.m.,,83.00,,,,
276,01/17/25 02:48:53 p.m.,,84.00,,,,
277,01/17/25 02:49:54 p.m.,,85.00,,,,
278,01/17/25 02:50:53 p.m.,,86.00,,,,
279,01/17/25 02:51:52 p.m.,,87.00,,,,
280,01/17/25 02:53:02 p.m.,,88.00,,,,
281,01/17/25 02:53:59 p.m.,,89.00,,,,
282,01/17/25 02:54:36 p.m.,,90.00,,,,
283,01/17/25 02:55:22 p.m.,,91.00,,,,
284,01/17/25 02:56:31 p.m.,,92.00,,,,
285,01/17/25 02:57:27 p.m.,,93.00,,,,
286,01/17/25 02:58:02 p.m.,,94.00,,,,
287,01/17/25 02:58:51 p.m.,,95.00,,,,
288,01/17/25 02:59:27 p.m.,,96.00,,,,
289,01/17/25 03:00:00 p.m.,9.472,,,,,
290,01/17/25 03:00:31 p.m.,,97.00,,,,
291,01/17/25 03:01:14 p.m.,,98.00,,,,
292,01/17/25 03:01:48 p.m.,,99.00,,,,
293,01/17/25 03:02:15 p.m.,,100.00,,,,
294,01/17/25 03:02:53 p.m.,,101.00,,,,
295,01/17/25 03:03:10 p.m.,,102.00,,,,
296,01/17/25 03:03:55 p.m.,,103.00,,,,
297,01/17/25 03:04:43 p.m.,,104.00,,,,
298,01/17/25 03:05:30 p.m.,,105.00,,,,
299,01/17/25 03:06:01 p.m.,,106.00,,,,
300,01/17/25 03:06:42 p.m.,,107.00,,,,
301,01/17/25 03:07:39 p.m.,,108.00,,,,
302,01/17/25 03:08:36 p.m.,,109.00,,,,
303,01/17/25 03:09:28 p.m.,,110.00,,,,
304,01/17/25 03:11:37 p.m.,,111.00,,,,
305,01/17/25 03:14:23 p.m.,,112.00,,,,
306,01/17/25 03:18:20 p.m.,,113.00,,,,
307,01/17/25 03:26:41 p.m.,,114.00,,,,
308,01/17/25 03:30:00 p.m.,6.775,,,,,
309,01/17/25 04:00:00 p.m.,8.082,,,,,
310,01/17/25 04:30:00 p.m.,11.528,,,,,
311,01/17/25 04:33:56 p.m.,,115.00,,,,
312,01/17/25 04:35:41 p.m.,,116.00,,,,
313,01/17/25 04:39:48 p.m.,,117.00,,,,
314,01/17/25 04:40:22 p.m.,,118.00,,,,
315,01/17/25 04:41:20 p.m.,,119.00,,,,
316,01/17/25 04:42:25 p.m.,,120.00,,,,
317,01/17/25 04:43:32 p.m.,,121.00,,,,
318,01/17/25 04:44:25 p.m.,,122.00,,,,
319,01/17/25 04:45:38 p.m.,,123.00,,,,
320,01/17/25 04:49:19 p.m.,,124.00,,,,
321,01/17/25 04:55:49 p.m.,,125.00,,,,
322,01/17/25 05:00:00 p.m.,7.882,,,,,
323,01/17/25 05:03:13 p.m.,,126.00,,,,
324,01/17/25 05:11:31 p.m.,,127.00,,,,
325,01/17/25 05:15:34 p.m.,,128.00,,,,
326,01/17/25 05:24:08 p.m.,,129.00,,,,
327,01/17/25 05:30:00 p.m.,6.166,,,,,
328,01/17/25 05:35:36 p.m.,,130.00,,,,
329,01/17/25 05:40:08 p.m.,,131.00,,,,
330,01/17/25 05:43:59 p.m.,,132.00,,,,
331,01/17/25 06:00:00 p.m.,5.655,,,,,
332,01/17/25 06:30:00 p.m.,5.450,,,,,
333,01/17/25 06:36:26 p.m.,,133.00,,,,
334,01/17/25 06:41:04 p.m.,,134.00,,,,
335,01/17/25 06:46:31 p.m.,,135.00,,,,
336,01/17/25 06:51:56 p.m.,,136.00,,,,
337,01/17/25 06:56:06 p.m.,,137.00,,,,
338,01/17/25 06:59:28 p.m.,,138.00,,,,
339,01/17/25 07:00:00 p.m.,5.141,,,,,
340,01/17/25 07:03:39 p.m.,,139.00,,,,
341,01/17/25 07:07:10 p.m.,,140.00,,,,
342,01/17/25 07:09:57 p.m.,,141.00,,,,
343,01/17/25 07:11:52 p.m.,,142.00,,,,
344,01/17/25 07:14:24 p.m.,,143.00,,,,
345,01/17/25 07:16:15 p.m.,,144.00,,,,
346,01/17/25 07:19:55 p.m.,,145.00,,,,
347,01/17/25 07:21:58 p.m.,,146.00,,,,
348,01/17/25 07:23:24 p.m.,,147.00,,,,
349,01/17/25 07:25:05 p.m.,,148.00,,,,
350,01/17/25 07:26:33 p.m.,,149.00,,,,
351,01/17/25 07:27:33 p.m.,,150.00,,,,
352,01/17/25 07:28:58 p.m.,,151.00,,,,
353,01/17/25 07:30:00 p.m.,4.934,,,,,
354,01/17/25 07:30:12 p.m.,,152.00,,,,
355,01/17/25 07:32:03 p.m.,,153.00,,,,
356,01/17/25 07:33:17 p.m.,,154.00,,,,
357,01/17/25 07:35:25 p.m.,,155.00,,,,
358,01/17/25 07:37:46 p.m.,,156.00,,,,
359,01/17/25 07:39:42 p.m.,,157.00,,,,
360,01/17/25 07:41:28 p.m.,,158.00,,,,
361,01/17/25 07:43:55 p.m.,,159.00,,,,
362,01/17/25 07:46:33 p.m.,,160.00,,,,
363,01/17/25 07:48:14 p.m.,,161.00,,,,
364,01/17/25 07:50:04 p.m.,,162.00,,,,
365,01/17/25 07:52:20 p.m.,,163.00,,,,
366,01/17/25 07:54:50 p.m.,,164.00,,,,
367,01/17/25 07:57:21 p.m.,,165.00,,,,
368,01/17/25 08:00:00 p.m.,4.311,,,,,
369,01/17/25 08:03:28 p.m.,,166.00,,,,
370,01/17/25 08:11:22 p.m.,,167.00,,,,
371,01/17/25 08:18:33 p.m.,,168.00,,,,
372,01/17/25 08:27:45 p.m.,,169.00,,,,
373,01/17/25 08:30:00 p.m.,3.998,,,,,
374,01/17/25 08:31:58 p.m.,,170.00,,,,
375,01/17/25 08:41:56 p.m.,,171.00,,,,
376,01/17/25 08:48:56 p.m.,,172.00,,,,
377,01/17/25 08:55:14 p.m.,,173.00,,,,
378,01/17/25 09:00:00 p.m.,3.893,,,,,
379,01/17/25 09:00:17 p.m.,,174.00,,,,
380,01/17/25 09:06:20 p.m.,,175.00,,,,
381,01/17/25 09:11:21 p.m.,,176.00,,,,
382,01/17/25 09:16:04 p.m.,,177.00,,,,
383,01/17/25 09:20:18 p.m.,,178.00,,,,
384,01/17/25 09:25:49 p.m.,,179.00,,,,
385,01/17/25 09:30:00 p.m.,3.788,,,,,
386,01/17/25 09:30:32 p.m.,,180.00,,,,
387,01/17/25 09:36:41 p.m.,,181.00,,,,
388,01/17/25 09:41:37 p.m.,,182.00,,,,
389,01/17/25 09:48:17 p.m.,,183.00,,,,
390,01/17/25 09:56:16 p.m.,,184.00,,,,
391,01/17/25 10:00:00 p.m.,3.788,,,,,
392,01/17/25 10:09:02 p.m.,,185.00,,,,
393,01/17/25 10:22:52 p.m.,,186.00,,,,
394,01/17/25 10:30:00 p.m.,3.788,,,,,
395,01/17/25 10:55:33 p.m.,,187.00,,,,
396,01/17/25 11:00:00 p.m.,3.683,,,,,
397,01/17/25 11:30:00 p.m.,3.683,,,,,
398,01/17/25 11:56:02 p.m.,,188.00,,,,
399,01/18/25 12:00:00 a.m.,3.683,,,,,
400,01/18/25 12:30:00 a.m.,3.578,,,,,
401,01/18/25 01:00:00 a.m.,2.943,,,,,
402,01/18/25 01:30:00 a.m.,2.303,,,,,
403,01/18/25 02:00:00 a.m.,2.410,,,,,
404,01/18/25 02:30:00 a.m.,2.730,,,,,
405,01/18/25 03:00:00 a.m.,2.624,,,,,
406,01/18/25 03:30:00 a.m.,2.624,,,,,
407,01/18/25 04:00:00 a.m.,2.837,,,,,
408,01/18/25 04:30:00 a.m.,2.517,,,,,
409,01/18/25 05:00:00 a.m.,1.656,,,,,
410,01/18/25 05:30:00 a.m.,-0.102,,,,,
411,01/18/25 06:00:00 a.m.,-0.437,,,,,
412,01/18/25 06:30:00 a.m.,-0.325,,,,,
413,01/18/25 07:00:00 a.m.,1.003,,,,,
414,01/18/25 07:30:00 a.m.,5.141,,,,,
415,01/18/25 08:00:00 a.m.,7.782,,,,,
416,01/18/25 08:30:00 a.m.,7.481,,,,,
417,01/18/25 09:00:00 a.m.,10.259,,,,,
418,01/18/25 09:30:00 a.m.,14.230,,,,,
419,01/18/25 10:00:00 a.m.,12.497,,,,,
420,01/18/25 10:30:00 a.m.,11.819,,,,,
421,01/18/25 10:37:17 a.m.,,189.00,,,,
422,01/18/25 11:00:00 a.m.,10.944,,,,,
423,01/18/25 11:06:48 a.m.,,190.00,,,,
424,01/18/25 11:30:00 a.m.,11.041,,,,,
425,01/18/25 11:32:50 a.m.,,191.00,,,,
426,01/18/25 12:00:00 p.m.,17.189,,,,,
427,01/18/25 12:30:00 p.m.,20.519,,,,,
428,01/18/25 01:00:00 p.m.,14.996,,,,,
429,01/18/25 01:30:00 p.m.,21.187,,,,,
430,01/18/25 02:00:00 p.m.,18.045,,,,,
431,01/18/25 02:30:00 p.m.,17.855,,,,,
432,01/18/25 03:00:00 p.m.,21.951,,,,,
433,01/18/25 03:30:00 p.m.,20.424,,,,,
434,01/18/25 04:00:00 p.m.,17.094,,,,,
435,01/18/25 04:30:00 p.m.,15.951,,,,,
436,01/18/25 05:00:00 p.m.,12.787,,,,,
437,01/18/25 05:30:00 p.m.,10.944,,,,,
438,01/18/25 06:00:00 p.m.,9.077,,,,,
439,01/18/25 06:30:00 p.m.,7.481,,,,,
440,01/18/25 07:00:00 p.m.,5.757,,,,,
441,01/18/25 07:30:00 p.m.,4.207,,,,,
442,01/18/25 08:00:00 p.m.,3.155,,,,,
443,01/18/25 08:30:00 p.m.,0.784,,,,,
444,01/18/25 09:00:00 p.m.,-0.549,,,,,
445,01/18/25 09:30:00 p.m.,0.343,,,,,
446,01/18/25 10:00:00 p.m.,1.439,,,,,
447,01/18/25 10:30:00 p.m.,1.439,,,,,
448,01/18/25 11:00:00 p.m.,0.563,,,,,
449,01/18/25 11:30:00 p.m.,0.121,,,,,
450,01/19/25 12:00:00 a.m.,-0.213,,,,,
451,01/19/25 12:30:00 a.m.,0.121,,,,,
452,01/19/25 01:00:00 a.m.,1.439,,,,,
453,01/19/25 01:30:00 a.m.,-0.549,,,,,
454,01/19/25 02:00:00 a.m.,-0.662,,,,,
455,01/19/25 02:30:00 a.m.,-0.437,,,,,
456,01/19/25 03:00:00 a.m.,-0.887,,,,,
457,01/19/25 03:30:00 a.m.,-1.228,,,,,
458,01/19/25 04:00:00 a.m.,-0.437,,,,,
459,01/19/25 04:30:00 a.m.,0.343,,,,,
460,01/19/25 05:00:00 a.m.,0.232,,,,,
461,01/19/25 05:30:00 a.m.,-0.213,,,,,
462,01/19/25 06:00:00 a.m.,-1.001,,,,,
463,01/19/25 06:30:00 a.m.,-1.684,,,,,
464,01/19/25 07:00:00 a.m.,-1.456,,,,,
465,01/19/25 07:30:00 a.m.,-0.102,,,,,
466,01/19/25 08:00:00 a.m.,3.683,,,,,
467,01/19/25 08:30:00 a.m.,9.077,,,,,
468,01/19/25 09:00:00 a.m.,16.427,,,,,
469,01/19/25 09:30:00 a.m.,21.187,,,,,
470,01/19/25 10:00:00 a.m.,24.545,,,,,
471,01/19/25 10:30:00 a.m.,21.378,,,,,
472,01/19/25 11:00:00 a.m.,24.158,,,,,
473,01/19/25 11:30:00 a.m.,27.665,,,,,
474,01/19/25 12:00:00 p.m.,29.552,,,,,
475,01/19/25 12:30:00 p.m.,28.060,,,,,
476,01/19/25 01:00:00 p.m.,21.473,,,,,
477,01/19/25 01:30:00 p.m.,17.094,,,,,
478,01/19/25 02:00:00 p.m.,14.996,,,,,
479,01/19/25 02:30:00 p.m.,16.046,,,,,
480,01/19/25 03:00:00 p.m.,28.754,,,,,
481,01/19/25 03:30:00 p.m.,18.426,,,,,
482,01/19/25 04:00:00 p.m.,14.421,,,,,
483,01/19/25 04:30:00 p.m.,11.819,,,,,
