"Título de trazado: 20759044_LDCapRG"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20759044, SEN S/N: 20759044)","Event, mm (LGR S/N: 20759044, SEN S/N: 20759044)","Acoplador adjunto (LGR S/N: 20759044)","Host conectado (LGR S/N: 20759044)","Acoplador separado (LGR S/N: 20759044)","Final de archivo (LGR S/N: 20759044)"
150,12/22/25 06:00:00 a.m.,5.037,,,,,
151,12/22/25 07:00:00 a.m.,4.311,,,,,
152,12/22/25 08:00:00 a.m.,6.471,,,,,
153,12/22/25 09:00:00 a.m.,11.819,,,,,
154,12/22/25 10:00:00 a.m.,16.523,,,,,
155,12/22/25 11:00:00 a.m.,16.808,,,,,
156,12/22/25 12:00:00 p.m.,13.076,,,,,
157,12/22/25 01:00:00 p.m.,14.325,,,,,
158,12/22/25 02:00:00 p.m.,17.570,,,,,
159,12/22/25 03:00:00 p.m.,16.999,,,,,
160,12/22/25 04:00:00 p.m.,13.558,,,,,
161,12/22/25 05:00:00 p.m.,10.357,,,,,
162,12/22/25 06:00:00 p.m.,7.079,,,,,
163,12/22/25 07:00:00 p.m.,4.934,,,,,
164,12/22/25 08:00:00 p.m.,1.872,,,,,
165,12/22/25 09:00:00 p.m.,2.837,,,,,
166,12/22/25 10:00:00 p.m.,1.656,,,,,
167,12/22/25 11:00:00 p.m.,2.943,,,,,
168,12/23/25 12:00:00 a.m.,3.049,,,,,
169,12/23/25 01:00:00 a.m.,3.683,,,,,
170,12/23/25 02:00:00 a.m.,4.102,,,,,
171,12/23/25 03:00:00 a.m.,4.311,,,,,
172,12/23/25 04:00:00 a.m.,4.727,,,,,
173,12/23/25 05:00:00 a.m.,3.893,,,,,
174,12/23/25 06:00:00 a.m.,3.261,,,,,
175,12/23/25 07:00:00 a.m.,5.450,,,,,
176,12/23/25 08:00:00 a.m.,13.846,,,,,
177,12/23/25 09:00:00 a.m.,18.996,,,,,
178,12/23/25 10:00:00 a.m.,22.525,,,,,
179,12/23/25 11:00:00 a.m.,20.996,,,,,
180,12/23/25 12:00:00 p.m.,20.234,,,,,
181,12/23/25 01:00:00 p.m.,19.758,,,,,
182,12/23/25 02:00:00 p.m.,19.187,,,,,
183,12/23/25 03:00:00 p.m.,18.140,,,,,
184,12/23/25 04:00:00 p.m.,14.996,,,,,
185,12/23/25 05:00:00 p.m.,9.077,,,,,
186,12/23/25 06:00:00 p.m.,7.682,,,,,
187,12/23/25 07:00:00 p.m.,7.079,,,,,
188,12/23/25 08:00:00 p.m.,4.415,,,,,
189,12/23/25 09:00:00 p.m.,2.837,,,,,
190,12/23/25 10:00:00 p.m.,2.303,,,,,
191,12/23/25 11:00:00 p.m.,1.656,,,,,
192,12/24/25 12:00:00 a.m.,2.410,,,,,
193,12/24/25 01:00:00 a.m.,1.548,,,,,
194,12/24/25 02:00:00 a.m.,1.764,,,,,
195,12/24/25 03:00:00 a.m.,1.330,,,,,
196,12/24/25 04:00:00 a.m.,-0.437,,,,,
197,12/24/25 05:00:00 a.m.,1.439,,,,,
198,12/24/25 06:00:00 a.m.,3.472,,,,,
199,12/24/25 07:00:00 a.m.,2.410,,,,,
200,12/24/25 08:00:00 a.m.,12.980,,,,,
201,12/24/25 09:00:00 a.m.,23.388,,,,,
202,12/24/25 10:00:00 a.m.,22.717,,,,,
203,12/24/25 11:00:00 a.m.,21.282,,,,,
204,12/24/25 12:00:00 p.m.,18.996,,,,,
205,12/24/25 01:00:00 p.m.,21.091,,,,,
206,12/24/25 02:00:00 p.m.,23.292,,,,,
207,12/24/25 03:00:00 p.m.,21.855,,,,,
208,12/24/25 04:00:00 p.m.,17.284,,,,,
209,12/24/25 05:00:00 p.m.,11.625,,,,,
210,12/24/25 06:00:00 p.m.,8.680,,,,,
211,12/24/25 07:00:00 p.m.,6.573,,,,,
212,12/24/25 08:00:00 p.m.,5.244,,,,,
213,12/24/25 09:00:00 p.m.,6.471,,,,,
214,12/24/25 10:00:00 p.m.,5.347,,,,,
215,12/24/25 11:00:00 p.m.,4.934,,,,,
216,12/25/25 12:00:00 a.m.,5.244,,,,,
217,12/25/25 01:00:00 a.m.,6.166,,,,,
218,12/25/25 01:02:53 a.m.,,2.8,,,,
219,12/25/25 01:12:06 a.m.,,3.0,,,,
220,12/25/25 01:16:13 a.m.,,3.2,,,,
221,12/25/25 01:29:45 a.m.,,3.4,,,,
222,12/25/25 01:31:56 a.m.,,3.6,,,,
223,12/25/25 01:35:21 a.m.,,3.8,,,,
224,12/25/25 01:36:49 a.m.,,4.0,,,,
225,12/25/25 02:00:00 a.m.,6.166,,,,,
226,12/25/25 02:07:09 a.m.,,4.2,,,,
227,12/25/25 02:09:56 a.m.,,4.4,,,,
228,12/25/25 02:33:10 a.m.,,4.6,,,,
229,12/25/25 02:58:56 a.m.,,4.8,,,,
230,12/25/25 03:00:00 a.m.,6.064,,,,,
231,12/25/25 03:23:55 a.m.,,5.0,,,,
232,12/25/25 03:35:20 a.m.,,5.2,,,,
233,12/25/25 03:45:55 a.m.,,5.4,,,,
234,12/25/25 03:50:14 a.m.,,5.6,,,,
235,12/25/25 04:00:00 a.m.,5.962,,,,,
236,12/25/25 04:18:41 a.m.,,5.8,,,,
237,12/25/25 04:33:59 a.m.,,6.0,,,,
238,12/25/25 05:00:00 a.m.,5.860,,,,,
239,12/25/25 06:00:00 a.m.,5.757,,,,,
240,12/25/25 07:00:00 a.m.,6.370,,,,,
241,12/25/25 08:00:00 a.m.,10.651,,,,,
242,12/25/25 09:00:00 a.m.,9.768,,,,,
243,12/25/25 10:00:00 a.m.,14.230,,,,,
244,12/25/25 11:00:00 a.m.,16.046,,,,,
245,12/25/25 12:00:00 p.m.,17.760,,,,,
246,12/25/25 01:00:00 p.m.,18.521,,,,,
247,12/25/25 02:00:00 p.m.,16.332,,,,,
248,12/25/25 03:00:00 p.m.,19.092,,,,,
249,12/25/25 04:00:00 p.m.,15.664,,,,,
250,12/25/25 05:00:00 p.m.,12.980,,,,,
251,12/25/25 06:00:00 p.m.,8.382,,,,,
252,12/25/25 07:00:00 p.m.,5.552,,,,,
253,12/25/25 08:00:00 p.m.,5.244,,,,,
254,12/25/25 09:00:00 p.m.,4.831,,,,,
255,12/25/25 10:00:00 p.m.,5.552,,,,,
256,12/25/25 11:00:00 p.m.,4.831,,,,,
257,12/26/25 12:00:00 a.m.,5.655,,,,,
258,12/26/25 01:00:00 a.m.,3.788,,,,,
259,12/26/25 02:00:00 a.m.,3.578,,,,,
260,12/26/25 03:00:00 a.m.,3.367,,,,,
261,12/26/25 04:00:00 a.m.,2.303,,,,,
262,12/26/25 05:00:00 a.m.,1.112,,,,,
263,12/26/25 06:00:00 a.m.,0.893,,,,,
264,12/26/25 07:00:00 a.m.,1.980,,,,,
265,12/26/25 08:00:00 a.m.,10.063,,,,,
266,12/26/25 09:00:00 a.m.,20.710,,,,,
267,12/26/25 10:00:00 a.m.,24.255,,,,,
268,12/26/25 11:00:00 a.m.,20.234,,,,,
269,12/26/25 12:00:00 p.m.,18.045,,,,,
270,12/26/25 01:00:00 p.m.,21.569,,,,,
271,12/26/25 02:00:00 p.m.,22.717,,,,,
272,12/26/25 03:00:00 p.m.,22.621,,,,,
273,12/26/25 04:00:00 p.m.,21.855,,,,,
274,12/26/25 05:00:00 p.m.,15.282,,,,,
275,12/26/25 06:00:00 p.m.,7.882,,,,,
276,12/26/25 07:00:00 p.m.,4.831,,,,,
277,12/26/25 08:00:00 p.m.,3.893,,,,,
278,12/26/25 09:00:00 p.m.,2.943,,,,,
279,12/26/25 10:00:00 p.m.,1.764,,,,,
280,12/26/25 11:00:00 p.m.,0.784,,,,,
281,12/27/25 12:00:00 a.m.,-0.213,,,,,
282,12/27/25 01:00:00 a.m.,-0.325,,,,,
283,12/27/25 02:00:00 a.m.,-0.887,,,,,
284,12/27/25 03:00:00 a.m.,-0.437,,,,,
285,12/27/25 04:00:00 a.m.,-0.549,,,,,
286,12/27/25 05:00:00 a.m.,-0.549,,,,,
287,12/27/25 06:00:00 a.m.,-0.662,,,,,
288,12/27/25 07:00:00 a.m.,1.548,,,,,
289,12/27/25 07:58:52 a.m.,,6.2,,,,
290,12/27/25 08:00:00 a.m.,5.552,,,,,
291,12/27/25 08:14:37 a.m.,,6.4,,,,
292,12/27/25 08:56:23 a.m.,,6.6,,,,
293,12/27/25 09:00:00 a.m.,7.582,,,,,
294,12/27/25 09:17:15 a.m.,,6.8,,,,
295,12/27/25 09:47:57 a.m.,,7.0,,,,
296,12/27/25 10:00:00 a.m.,9.373,,,,,
297,12/27/25 10:25:19 a.m.,,7.2,,,,
298,12/27/25 11:00:00 a.m.,11.041,,,,,
299,12/27/25 12:00:00 p.m.,12.980,,,,,
300,12/27/25 01:00:00 p.m.,15.664,,,,,
301,12/27/25 02:00:00 p.m.,13.269,,,,,
302,12/27/25 03:00:00 p.m.,10.651,,,,,
303,12/27/25 04:00:00 p.m.,10.455,,,,,
304,12/27/25 05:00:00 p.m.,8.680,,,,,
305,12/27/25 06:00:00 p.m.,7.782,,,,,
306,12/27/25 07:00:00 p.m.,6.370,,,,,
307,12/27/25 08:00:00 p.m.,4.519,,,,,
308,12/27/25 09:00:00 p.m.,4.102,,,,,
309,12/27/25 10:00:00 p.m.,2.195,,,,,
310,12/27/25 11:00:00 p.m.,2.517,,,,,
311,12/28/25 12:00:00 a.m.,3.788,,,,,
312,12/28/25 01:00:00 a.m.,3.893,,,,,
313,12/28/25 02:00:00 a.m.,4.311,,,,,
314,12/28/25 03:00:00 a.m.,4.311,,,,,
315,12/28/25 04:00:00 a.m.,3.893,,,,,
316,12/28/25 05:00:00 a.m.,3.683,,,,,
317,12/28/25 06:00:00 a.m.,3.893,,,,,
318,12/28/25 07:00:00 a.m.,4.623,,,,,
319,12/28/25 08:00:00 a.m.,6.370,,,,,
320,12/28/25 09:00:00 a.m.,8.581,,,,,
321,12/28/25 10:00:00 a.m.,7.882,,,,,
322,12/28/25 11:00:00 a.m.,9.571,,,,,
323,12/28/25 12:00:00 p.m.,15.664,,,,,
324,12/28/25 01:00:00 p.m.,15.855,,,,,
325,12/28/25 02:00:00 p.m.,16.141,,,,,
326,12/28/25 03:00:00 p.m.,17.189,,,,,
327,12/28/25 04:00:00 p.m.,11.819,,,,,
328,12/28/25 05:00:00 p.m.,13.461,,,,,
329,12/28/25 06:00:00 p.m.,7.280,,,,,
330,12/28/25 07:00:00 p.m.,3.788,,,,,
331,12/28/25 08:00:00 p.m.,0.121,,,,,
332,12/28/25 09:00:00 p.m.,-0.774,,,,,
333,12/28/25 10:00:00 p.m.,-0.662,,,,,
334,12/28/25 11:00:00 p.m.,-1.914,,,,,
335,12/29/25 12:00:00 a.m.,-0.887,,,,,
336,12/29/25 01:00:00 a.m.,-2.261,,,,,
337,12/29/25 02:00:00 a.m.,-0.102,,,,,
338,12/29/25 03:00:00 a.m.,-2.261,,,,,
339,12/29/25 04:00:00 a.m.,0.121,,,,,
340,12/29/25 05:00:00 a.m.,0.232,,,,,
341,12/29/25 06:00:00 a.m.,2.517,,,,,
342,12/29/25 07:00:00 a.m.,4.519,,,,,
343,12/29/25 08:00:00 a.m.,14.804,,,,,
344,12/29/25 09:00:00 a.m.,16.713,,,,,
345,12/29/25 10:00:00 a.m.,11.916,,,,,
346,12/29/25 11:00:00 a.m.,15.378,,,,,
347,12/29/25 12:00:00 p.m.,19.472,,,,,
348,12/29/25 01:00:00 p.m.,12.401,,,,,
349,12/29/25 02:00:00 p.m.,9.275,,,,,
350,12/29/25 03:00:00 p.m.,10.846,,,,,
351,12/29/25 04:00:00 p.m.,11.041,,,,,
352,12/29/25 05:00:00 p.m.,9.176,,,,,
353,12/29/25 06:00:00 p.m.,6.775,,,,,
354,12/29/25 07:00:00 p.m.,5.450,,,,,
355,12/29/25 08:00:00 p.m.,3.998,,,,,
356,12/29/25 09:00:00 p.m.,3.788,,,,,
357,12/29/25 10:00:00 p.m.,5.347,,,,,
358,12/29/25 11:00:00 p.m.,5.450,,,,,
359,12/30/25 12:00:00 a.m.,5.450,,,,,
360,12/30/25 01:00:00 a.m.,5.552,,,,,
361,12/30/25 02:00:00 a.m.,6.268,,,,,
362,12/30/25 03:00:00 a.m.,5.347,,,,,
363,12/30/25 04:00:00 a.m.,4.831,,,,,
364,12/30/25 04:29:34 a.m.,,7.4,,,,
365,12/30/25 04:38:00 a.m.,,7.6,,,,
366,12/30/25 04:53:37 a.m.,,7.8,,,,
367,12/30/25 04:58:40 a.m.,,8.0,,,,
368,12/30/25 05:00:00 a.m.,4.415,,,,,
369,12/30/25 05:25:58 a.m.,,8.2,,,,
370,12/30/25 05:35:41 a.m.,,8.4,,,,
371,12/30/25 06:00:00 a.m.,4.623,,,,,
372,12/30/25 06:32:20 a.m.,,8.6,,,,
373,12/30/25 06:41:30 a.m.,,8.8,,,,
374,12/30/25 07:00:00 a.m.,5.141,,,,,
375,12/30/25 07:56:48 a.m.,,9.0,,,,
376,12/30/25 08:00:00 a.m.,5.450,,,,,
377,12/30/25 08:05:25 a.m.,,9.2,,,,
378,12/30/25 08:19:09 a.m.,,9.4,,,,
379,12/30/25 08:30:25 a.m.,,9.6,,,,
380,12/30/25 08:55:56 a.m.,,9.8,,,,
381,12/30/25 09:00:00 a.m.,7.079,,,,,
382,12/30/25 09:05:48 a.m.,,10.0,,,,
383,12/30/25 09:33:42 a.m.,,10.2,,,,
384,12/30/25 09:46:55 a.m.,,10.4,,,,
385,12/30/25 10:00:00 a.m.,8.282,,,,,
386,12/30/25 10:01:57 a.m.,,10.6,,,,
387,12/30/25 10:43:53 a.m.,,10.8,,,,
388,12/30/25 10:53:45 a.m.,,11.0,,,,
389,12/30/25 11:00:00 a.m.,9.275,,,,,
390,12/30/25 11:01:17 a.m.,,11.2,,,,
391,12/30/25 11:09:24 a.m.,,11.4,,,,
392,12/30/25 11:17:12 a.m.,,11.6,,,,
393,12/30/25 11:28:12 a.m.,,11.8,,,,
394,12/30/25 11:35:26 a.m.,,12.0,,,,
395,12/30/25 11:47:51 a.m.,,12.2,,,,
396,12/30/25 11:55:32 a.m.,,12.4,,,,
397,12/30/25 12:00:00 p.m.,10.063,,,,,
398,12/30/25 12:06:10 p.m.,,12.6,,,,
399,12/30/25 12:14:24 p.m.,,12.8,,,,
400,12/30/25 12:19:31 p.m.,,13.0,,,,
401,12/30/25 01:00:00 p.m.,10.553,,,,,
402,12/30/25 01:50:25 p.m.,,13.2,,,,
403,12/30/25 02:00:00 p.m.,9.571,,,,,
404,12/30/25 02:14:17 p.m.,,13.4,,,,
405,12/30/25 02:27:37 p.m.,,13.6,,,,
406,12/30/25 03:00:00 p.m.,10.357,,,,,
407,12/30/25 04:00:00 p.m.,10.748,,,,,
408,12/30/25 05:00:00 p.m.,9.176,,,,,
409,12/30/25 06:00:00 p.m.,5.552,,,,,
410,12/30/25 07:00:00 p.m.,2.943,,,,,
411,12/30/25 08:00:00 p.m.,3.893,,,,,
412,12/30/25 09:00:00 p.m.,5.347,,,,,
413,12/30/25 10:00:00 p.m.,5.962,,,,,
414,12/30/25 11:00:00 p.m.,5.450,,,,,
415,12/30/25 11:41:31 p.m.,,13.8,,,,
416,12/31/25 12:00:00 a.m.,5.141,,,,,
417,12/31/25 12:17:27 a.m.,,14.0,,,,
418,12/31/25 01:00:00 a.m.,4.831,,,,,
419,12/31/25 02:00:00 a.m.,4.727,,,,,
420,12/31/25 02:00:23 a.m.,,14.2,,,,
421,12/31/25 02:23:08 a.m.,,14.4,,,,
422,12/31/25 03:00:00 a.m.,4.831,,,,,
423,12/31/25 04:00:00 a.m.,4.831,,,,,
424,12/31/25 05:00:00 a.m.,4.934,,,,,
425,12/31/25 06:00:00 a.m.,4.311,,,,,
426,12/31/25 07:00:00 a.m.,4.623,,,,,
427,12/31/25 08:00:00 a.m.,7.381,,,,,
428,12/31/25 09:00:00 a.m.,7.582,,,,,
429,12/31/25 10:00:00 a.m.,7.381,,,,,
430,12/31/25 11:00:00 a.m.,12.594,,,,,
431,12/31/25 12:00:00 p.m.,12.304,,,,,
432,12/31/25 01:00:00 p.m.,14.613,,,,,
433,12/31/25 02:00:00 p.m.,11.625,,,,,
434,12/31/25 03:00:00 p.m.,16.523,,,,,
435,12/31/25 04:00:00 p.m.,11.819,,,,,
436,12/31/25 05:00:00 p.m.,9.571,,,,,
437,12/31/25 06:00:00 p.m.,7.682,,,,,
438,12/31/25 07:00:00 p.m.,6.877,,,,,
439,12/31/25 08:00:00 p.m.,5.962,,,,,
440,12/31/25 08:40:48 p.m.,,14.6,,,,
441,12/31/25 09:00:00 p.m.,5.244,,,,,
442,12/31/25 10:00:00 p.m.,5.141,,,,,
443,12/31/25 11:00:00 p.m.,5.037,,,,,
444,01/01/26 12:00:00 a.m.,4.727,,,,,
445,01/01/26 01:00:00 a.m.,4.934,,,,,
446,01/01/26 02:00:00 a.m.,5.655,,,,,
447,01/01/26 03:00:00 a.m.,5.347,,,,,
448,01/01/26 04:00:00 a.m.,6.471,,,,,
449,01/01/26 04:56:06 a.m.,,14.8,,,,
450,01/01/26 05:00:00 a.m.,5.757,,,,,
451,01/01/26 06:00:00 a.m.,5.757,,,,,
452,01/01/26 06:01:51 a.m.,,15.0,,,,
453,01/01/26 06:18:45 a.m.,,15.2,,,,
454,01/01/26 07:00:00 a.m.,5.141,,,,,
455,01/01/26 07:14:59 a.m.,,15.4,,,,
456,01/01/26 07:57:01 a.m.,,15.6,,,,
457,01/01/26 08:00:00 a.m.,5.860,,,,,
458,01/01/26 08:17:45 a.m.,,15.8,,,,
459,01/01/26 08:28:16 a.m.,,16.0,,,,
460,01/01/26 08:38:45 a.m.,,16.2,,,,
461,01/01/26 08:45:07 a.m.,,16.4,,,,
462,01/01/26 09:00:00 a.m.,7.280,,,,,
463,01/01/26 09:01:58 a.m.,,16.6,,,,
464,01/01/26 09:25:58 a.m.,,16.8,,,,
465,01/01/26 10:00:00 a.m.,9.571,,,,,
466,01/01/26 11:00:00 a.m.,10.063,,,,,
467,01/01/26 12:00:00 p.m.,9.275,,,,,
468,01/01/26 01:00:00 p.m.,11.528,,,,,
469,01/01/26 02:00:00 p.m.,14.613,,,,,
470,01/01/26 03:00:00 p.m.,15.187,,,,,
471,01/01/26 04:00:00 p.m.,14.996,,,,,
472,01/01/26 05:00:00 p.m.,11.431,,,,,
473,01/01/26 06:00:00 p.m.,8.282,,,,,
474,01/01/26 07:00:00 p.m.,7.179,,,,,
475,01/01/26 08:00:00 p.m.,6.064,,,,,
476,01/01/26 09:00:00 p.m.,3.049,,,,,
477,01/01/26 10:00:00 p.m.,1.872,,,,,
478,01/01/26 11:00:00 p.m.,2.195,,,,,
479,01/02/26 12:00:00 a.m.,3.893,,,,,
480,01/02/26 01:00:00 a.m.,3.367,,,,,
481,01/02/26 02:00:00 a.m.,3.261,,,,,
482,01/02/26 03:00:00 a.m.,3.261,,,,,
483,01/02/26 04:00:00 a.m.,3.155,,,,,
484,01/02/26 05:00:00 a.m.,3.472,,,,,
485,01/02/26 06:00:00 a.m.,3.578,,,,,
